a
aa
c
c̓
č
č̓
h
ḥ
i
ii
k
k̓
kʷ
k̓ʷ
ł
ƛ
ƛ̓
m
m̓
n
n̓
p
p̓
q
qʷ
s
š
t
t̓
u
uu
w
w̓
x
x̣
xʷ
x̣ʷ
y
y̓
ʕ
ʔ
e
ee
o
oo
